ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,token
IG VII,358,143835,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — bef. 202 BC — IG VII 358",Oropos,NA,202,NA,TRUE,TRUE,NA,300,300,ισοτελειαν
IG VII,359,143836,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — bef. 202 BC — IG VII 359",Oropos,NA,202,NA,TRUE,TRUE,NA,300,300,ισοτελειαν
IG VII,360,143837,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 360",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,361,143838,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 361",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,370,143847,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 370 + 390 — AD 28 A (1973) 187, 19 — SEG 26.602",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,376,143853,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 376",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,386,143863,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 386",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,390,143867,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 370 + 390 — AD 28 A (1973) 187, 19 — SEG 26.602",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,393,143870,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 393 — ArchEph (1919) 79, 114",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ϝισοτελιαν
IG VII,395,143872,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 300-250 BC — IG VII 395 [= ll. 1-5]",Oropos,300,250,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,398,143875,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 398",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,409,143886,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 287 — IG VII 409 [= ll. 10-11]",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,505,143982,"[ ]
Boiotia — Tanagra — ca. 222-205 BC",Tanagra,222,205,FALSE,TRUE,TRUE,300,300,300,ϝισοτελιαν
IG VII,507,143984,"[ ]
Boiotia — Tanagra — ca. 222-205 BC",Tanagra,222,205,FALSE,TRUE,TRUE,300,300,300,ϝισοτελιαν
IG VII,522,144000,"[ ]
Boiotia — Tanagra — after mid. 3rd c. BC",Tanagra,350,NA,NA,TRUE,TRUE,400,NA,400,ϝισοτελιαν
IG VII,523,144001,"[ ]
Boiotia — Tanagra — after mid. 3rd c. BC",Tanagra,350,NA,NA,TRUE,TRUE,400,NA,400,ϝισοτελιαν
IG VII,524,144002,"[ ]
Boiotia — Tanagra — after mid. 3rd c. BC",Tanagra,350,NA,NA,TRUE,TRUE,400,NA,400,ϝισοτελιαν
IG VII,531,144009,"[ ]
Boiotia — Tanagra — 3rd c. BC",Tanagra,300,201,FALSE,TRUE,TRUE,300,300,300,ϝισοτελιαν
IG VII,4258,147780,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 248 [= l. 1] — IG VII 4258",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,4260,147782,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 4260 — ArchEph (1919) 78, 112",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ϝισοτελιαν
IG VII,4261,147783,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 4261",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελιαν
IG VII,4262,147784,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 4262",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,4263,147785,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 225-200 BC — IG VII 4263 — Syll.³ 544

See also:
SEG 52:506bis(1)",Oropos,225,200,TRUE,TRUE,TRUE,300,200,300,ισοτελειαν
IG VII,4265,147787,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 300-250 BC — IG VII 4265",Oropos,300,250,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,4266,147788,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 300-250 BC — IG VII 4266",Oropos,300,250,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,4267,147789,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 300-250 BC — IG VII 4267",Oropos,300,250,FALSE,TRUE,TRUE,300,300,300,ισοτελειαν
IG VII,4268,147790,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 300-250 BC — IG VII 4268",Oropos,300,250,FALSE,TRUE,TRUE,300,300,300,ισοτελεια
